--Image--
image path:qr-images/pasta_stand.jpg
    Software used: photobooth on my mac
    Screen: Samsung monitor in my mother's office
    Size on screen
        width: 22.5 cm
        height: 22.5 cm
    Camera position
        distance from display: 36.2 cm
        alignment: centered on qrcode grid
    Percentage Identified details:
        average score: 69.96666666666667

--Details---
raw results: 80
sharpened results: 64
k:1, s:1.5, a:0.4, score:64
k:1, s:1.5, a:0.6, score:64
k:1, s:1.5, a:0.8, score:64
k:1, s:1.5, a:1.0, score:64
k:1, s:1.5, a:1.2, score:64
k:1, s:1.5, a:1.4, score:64
k:1, s:1.5, a:1.6, score:64
k:1, s:1.5, a:1.8, score:64
k:1, s:1.5, a:2.0, score:64
k:1, s:2.0, a:0.2, score:64
k:1, s:2.0, a:0.4, score:64
k:1, s:2.0, a:0.6, score:64
k:1, s:2.0, a:0.8, score:64
k:1, s:2.0, a:1.0, score:64
k:1, s:2.0, a:1.2, score:64
k:1, s:2.0, a:1.4, score:64
k:1, s:2.0, a:1.6, score:64
k:1, s:2.0, a:1.8, score:64
k:1, s:2.0, a:2.0, score:64
k:1, s:2.5, a:0.2, score:64
k:1, s:2.5, a:0.4, score:64
k:1, s:2.5, a:0.6, score:64
k:1, s:2.5, a:0.8, score:64
k:1, s:2.5, a:1.0, score:64
k:1, s:2.5, a:1.2, score:64
k:1, s:2.5, a:1.4, score:64
k:1, s:2.5, a:1.6, score:64
k:1, s:2.5, a:1.8, score:64
k:1, s:2.5, a:2.0, score:64
k:1, s:3.0, a:0.2, score:64
k:1, s:3.0, a:0.4, score:64
k:1, s:3.0, a:0.6, score:64
k:1, s:3.0, a:0.8, score:64
k:1, s:3.0, a:1.0, score:64
k:1, s:3.0, a:1.2, score:64
k:1, s:3.0, a:1.4, score:64
k:1, s:3.0, a:1.6, score:64
k:1, s:3.0, a:1.8, score:64
k:1, s:3.0, a:2.0, score:64
k:3, s:0.5, a:0.2, score:56
k:3, s:0.5, a:0.4, score:56
k:3, s:0.5, a:0.6, score:60
k:3, s:0.5, a:0.8, score:60
k:3, s:0.5, a:1.0, score:56
k:3, s:0.5, a:1.2, score:60
k:3, s:0.5, a:1.4, score:60
k:3, s:0.5, a:1.6, score:60
k:3, s:0.5, a:1.8, score:60
k:3, s:0.5, a:2.0, score:60
k:3, s:1.0, a:0.2, score:56
k:3, s:1.0, a:0.4, score:52
k:3, s:1.0, a:0.6, score:56
k:3, s:1.0, a:0.8, score:56
k:3, s:1.0, a:1.0, score:56
k:3, s:1.0, a:1.2, score:56
k:3, s:1.0, a:1.4, score:56
k:3, s:1.0, a:1.6, score:56
k:3, s:1.0, a:1.8, score:52
k:3, s:1.0, a:2.0, score:52
k:3, s:1.5, a:0.2, score:60
k:3, s:1.5, a:0.4, score:60
k:3, s:1.5, a:0.6, score:52
k:3, s:1.5, a:0.8, score:52
k:3, s:1.5, a:1.0, score:56
k:3, s:1.5, a:1.2, score:56
k:3, s:1.5, a:1.4, score:48
k:3, s:1.5, a:1.6, score:36
